"sequence_num";"twitter_tweet_id";"token";"label";"label2";"fold0";"fold1";"fold2";"fold3";"fold12"
"34";"574069149829214208";"og";"i-info";"i-info";"i-time";"";"";"";""
"35";"574069149829214208";":";"i-info";"i-info";"i-time";"";"";"";""
"36";"574069149829214208";"21.00";"i-info";"i-info";"i-time";"";"";"";""
"37";"574069149829214208";"wib";"i-info";"i-info";"i-time";"";"";"";""
"39";"574069149829214208";"htm";"i-info";"i-info";"bonus";"";"";"";""
"40";"574069149829214208";":";"i-info";"i-info";"other";"";"";"";""
"41";"574069149829214208";"15k";"i-info";"i-info";"other";"";"";"";""
"59";"573999068617179136";"tix";"i-info";"i-info";"contact";"";"";"";""
"60";"573999068617179136";"175k";"i-info";"i-info";"contact";"";"";"";""
"63";"573999068617179136";":";"i-info";"i-info";"contact";"";"";"";""
"284";"574213033272156160";"@neobandung";"i-info";"i-info";"other";"";"";"";""
"425";"574034429678632960";"htm";"i-info";"i-info";"bonus";"";"";"";""
"426";"574034429678632960";"20k";"i-info";"i-info";"bonus";"";"";"";""
"452";"573989098622418944";"|";"i-info";"i-info";"other";"";"";"";""
"474";"573858142129426433";"/";"i-info";"i-info";"contact";"";"";"";""
"585";"573770018342760448";"@horasbandung";"i-info";"i-info";"contact";"";"";"";""
"598";"573767545725063168";"htm";"i-info";"i-info";"bonus";"";"";"";""
"599";"573767545725063168";"20k";"i-info";"i-info";"bonus";"";"";"";""
"649";"573765029310414849";"@yubibdg";"i-info";"i-info";"other";"";"";"";""
"687";"543232031954436096";"for";"i-info";"i-info";"other";"";"";"";""
"688";"543232031954436096";"high";"i-info";"i-info";"other";"";"";"";""
"689";"543232031954436096";"school";"i-info";"i-info";"i-place";"";"";"";""
"707";"542978407399567362";"castingtalentwanita";"i-info";"i-info";"other";"";"";"";""
"708";"542978407399567362";"25";"i-info";"i-info";"i-time";"";"";"";""
"709";"542978407399567362";"-";"i-info";"i-info";"i-time";"";"";"";""
"710";"542978407399567362";"30th";"i-info";"i-info";"bonus";"";"";"";""
"711";"542978407399567362";"peran";"i-info";"i-info";"bonus";"";"";"";""
"712";"542978407399567362";"cs";"i-info";"i-info";"bonus";"";"";"";""
"713";"542978407399567362";"bankbumn";"i-info";"i-info";"bonus";"";"";"";""
"905";"574397906083528704";"?registrasi";"i-info";"i-info";"i-name";"";"";"";""
"1196";"574849739889442816";"3on3";"i-info";"i-info";"i-name";"";"";"";""
"1197";"574849739889442816";",";"i-info";"i-info";"other";"";"";"";""
"1198";"574849739889442816";"3point";"i-info";"i-info";"other";"";"";"";""
"1199";"574849739889442816";"shoot";"i-info";"i-info";"other";"";"";"";""
"1200";"574849739889442816";"&";"i-info";"i-info";"other";"";"";"";""
"1201";"574849739889442816";"dance";"i-info";"i-info";"other";"";"";"";""
"1202";"574849739889442816";"competition";"i-info";"i-info";"other";"";"";"";""
"1203";"574849739889442816";"sampai";"i-info";"i-info";"other";"";"";"";""
"1206";"574849739889442816";"?info";"i-info";"i-info";"i-time";"";"";"";""
"1226";"574916420716261376";"@kmpd_";"i-info";"i-info";"contact";"";"";"";""
"1550";"575436123515781120";"ada";"i-info";"i-info";"artist";"";"";"";""
"1561";"575478830187458561";"3on3";"i-info";"i-info";"i-name";"";"";"";""
"1562";"575478830187458561";",";"i-info";"i-info";"other";"";"";"";""
"1563";"575478830187458561";"3point";"i-info";"i-info";"other";"";"";"";""
"1564";"575478830187458561";"shoot";"i-info";"i-info";"other";"";"";"";""
"1565";"575478830187458561";"&";"i-info";"i-info";"other";"";"";"";""
"1566";"575478830187458561";"dance";"i-info";"i-info";"other";"";"";"";""
"1567";"575478830187458561";"competition";"i-info";"i-info";"other";"";"";"";""
"1568";"575478830187458561";"ditutup";"i-info";"i-info";"other";"";"";"";""
"1586";"575476521940295681";"bareng";"i-info";"i-info";"i-name";"";"";"";""
"3574";"578904413051469824";",";"i-info";"i-info";"";"artist";"";"";""
"3636";"579144725610938368";"on";"i-info";"i-info";"";"bonus";"";"";""
"3637";"579144725610938368";"the";"i-info";"i-info";"";"bonus";"";"";""
"3638";"579144725610938368";"spot";"i-info";"i-info";"";"bonus";"";"";""
"3639";"579144725610938368";"ticket";"i-info";"i-info";"";"bonus";"";"";""
"3640";"579144725610938368";"225k";"i-info";"i-info";"";"bonus";"";"";""
"3643";"579144725610938368";"open";"i-info";"i-info";"";"other";"";"";""
"3644";"579144725610938368";"gate";"i-info";"i-info";"";"other";"";"";""
"3645";"579144725610938368";":";"i-info";"i-info";"";"other";"";"";""
"3646";"579144725610938368";"1pm";"i-info";"i-info";"";"other";"";"";""
"3647";"579144725610938368";")";"i-info";"i-info";"";"other";"";"";""
"3673";"579174944568791040";"with";"i-info";"i-info";"";"artist";"";"";""
"3674";"579174944568791040";"@musikbambu";"i-info";"i-info";"";"artist";"";"";""
"3694";"579190746038845441";".";"i-info";"i-info";"";"bonus";"";"";""
"3695";"579190746038845441";"on";"i-info";"i-info";"";"bonus";"";"";""
"3696";"579190746038845441";"the";"i-info";"i-info";"";"bonus";"";"";""
"3697";"579190746038845441";"spot";"i-info";"i-info";"";"bonus";"";"";""
"3698";"579190746038845441";"ticket";"i-info";"i-info";"";"bonus";"";"";""
"3699";"579190746038845441";"225k";"i-info";"i-info";"";"bonus";"";"";""
"3722";"579198402518474752";"tickets";"i-info";"i-info";"";"other";"";"";""
"3723";"579198402518474752";":";"i-info";"i-info";"";"other";"";"";""
"3725";"579198402518474752";"-";"i-info";"i-info";"";"other";"";"";""
"3956";"579522592635113472";"@mcdivomic";"i-info";"i-info";"";"artist";"";"";""
"4371";"580144838927998976";"rp";"i-info";"i-info";"";"i-place";"";"";""
"4372";"580144838927998976";".";"i-info";"i-info";"";"other";"";"";""
"4373";"580144838927998976";"175.000";"i-info";"i-info";"";"other";"";"";""
"5309";"581082948390154240";"rp";"i-info";"i-info";"";"i-place";"";"";""
"5310";"581082948390154240";".";"i-info";"i-info";"";"i-place";"";"";""
"5311";"581082948390154240";"150.000";"i-info";"i-info";"";"i-place";"";"";""
"5659";"581372614926536704";"@my_toyotabdg";"i-info";"i-info";"";"contact";"";"";""
"5781";"581599319297511424";"!";"i-info";"i-info";"";"other";"";"";""
"6162";"581830707275776000";"@neoexpo";"i-info";"i-info";"";"other";"";"";""
"6555";"582853259989139457";"more";"i-info";"i-info";"";"contact";"";"";""
"7102";"584357362510778369";"@bdgbatikfest";"i-info";"i-info";"";"";"contact";"";""
"7186";"584546109550419968";"@bdgbatikfest";"i-info";"i-info";"";"";"other";"";"i-name"
"7884";"585716336820629504";"@positivepm";"i-info";"i-info";"";"";"contact";"";""
"8036";"585990660991385600";"@mega_multi";"i-info";"i-info";"";"";"contact";"";""
"8753";"586849752177709057";"@manutd";"i-info";"i-info";"";"";"other";"";""
"8754";"586849752177709057";"vs";"i-info";"i-info";"";"";"other";"";""
"8755";"586849752177709057";"@mcfc";"i-info";"i-info";"";"";"other";"";""
"8957";"587075242440425472";"@bdgbatikfest";"i-info";"i-info";"";"";"other";"";""
"9479";"587764790870814721";"media";"i-info";"i-info";"";"";"other";"";""
"10139";"588532371995111424";"&";"i-info";"i-info";"";"";"";"artist";""
"10140";"588532371995111424";"launching";"i-info";"i-info";"";"";"";"artist";""
"10141";"588532371995111424";"@infobdgkitchen";"i-info";"i-info";"";"";"";"artist";""
"10142";"588532371995111424";",";"i-info";"i-info";"";"";"";"other";""
"11062";"589579394282303488";"1955";"i-info";"i-info";"";"";"";"i-place";""
"11069";"589579394282303488";"@airfotonetwork";"i-info";"i-info";"";"";"";"contact";""
"11070";"589579394282303488";"http";"i-info";"i-info";"";"";"";"contact";""
"11071";"589579394282303488";":.//";"i-info";"i-info";"";"";"";"contact";""
"11151";"589633613760598016";"@danielramdhanii";"i-info";"i-info";"";"";"";"artist";""
"11642";"590159386716327936";"!!";"i-info";"i-info";"";"";"";"other";""
"12405";"591237118527082497";"o.g";"i-info";"i-info";"";"";"";"other";""
"12406";"591237118527082497";":";"i-info";"i-info";"";"";"";"other";""
"12407";"591237118527082497";"20.00";"i-info";"i-info";"";"";"";"other";""
"12419";"591237118527082497";"htm";"i-info";"i-info";"";"";"";"other";""
"12420";"591237118527082497";":";"i-info";"i-info";"";"";"";"other";""
"12421";"591237118527082497";"15k";"i-info";"i-info";"";"";"";"bonus";""
